Machine_ID,Machine_Type,Installation_Year,Operational_Hours,Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,Last_Maintenance_Days_Ago,Maintenance_History_Count,Failure_History_Count,AI_Supervision,Error_Codes_Last_30_Days,Remaining_Useful_Life_days,Failure_Within_7_Days,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
MC_000718,Automated_Screwdriver,2025,60151,43.89,11.98,68.2,81.02,62.01,44.26,141,1,0,TRUE,3,350,FALSE,,,,,2
MC_000723,Injection_Molder,2015,83075,65.56,16,79.12,89.74,33.8,173.6,190,3,4,FALSE,3,0,TRUE,,84.75,,,0
MC_000741,Carton_Former,2021,64003,60.92,20.25,69.55,28.35,63.11,239.65,161,6,3,FALSE,1,274,FALSE,,,,,0
MC_000755,Boiler,2019,64027,55.82,18.83,72.46,76.79,10.64,99.02,306,2,0,FALSE,2,198,FALSE,,,,505.73,0
MC_000834,Forklift_Electric,2017,31411,87.43,2.41,79.08,71.43,45.99,221.57,343,6,3,FALSE,3,671,FALSE,,,,,0
MC_000905,Press_Brake,2016,72548,70.82,13.22,66.57,59.76,76.42,196.98,250,6,0,FALSE,4,263,FALSE,,,,,0
MC_000923,XRay_Inspector,2023,55565,39.92,-8.57,63.93,81.67,86.76,89.07,249,8,2,FALSE,1,454,FALSE,,,,,0
MC_000945,Carton_Former,2024,53361,55.5,0.99,68.65,79.32,51.87,171.3,356,4,0,FALSE,4,540,FALSE,,,,,0
MC_000976,Mixer,2021,29289,67.74,13.8,46.1,65.52,26.13,158.1,2,7,2,TRUE,4,607,FALSE,,,,,4
MC_001025,Crane,2018,69688,63.67,3.21,64.61,74.01,69.95,313.29,233,6,1,FALSE,4,239,FALSE,,,,,0
MC_001064,Pump,2020,40443,43.48,14.26,74.62,100,56.17,249.21,94,7,1,FALSE,4,474,FALSE,,,,,0
MC_001072,Injection_Molder,2021,68730,56.6,12.86,63.83,36.13,23.29,153.13,91,2,1,FALSE,2,245,FALSE,,113.92,,,0
MC_001083,Conveyor_Belt,2020,6276,80.35,19.94,74.98,97.16,89.93,-18.54,258,7,2,TRUE,0,918,FALSE,,,,,3
MC_001091,Heat_Exchanger,2022,87795,73.98,7.93,63.62,75.05,50.8,-23.25,86,5,3,FALSE,0,182,FALSE,,,,577.2,0
MC_001159,Grinder,2025,24676,101.61,15.24,85.8,61.51,80.25,183.98,43,0,2,FALSE,2,686,FALSE,,,,,0
MC_001198,Palletizer,2025,80808,68.55,14.79,67.78,81.42,82.98,351.71,289,11,2,FALSE,3,149,FALSE,,,,,0
MC_001217,Mixer,2019,64927,71.08,20.23,93.23,42.48,62.02,110.6,63,6,2,FALSE,1,229,FALSE,,,,,0
MC_001230,Automated_Screwdriver,2015,33001,62.69,13.58,100.29,100,71.17,140.31,300,5,0,FALSE,1,569,FALSE,,,,,0
MC_001238,XRay_Inspector,2022,47639,49.85,7.66,79.86,56.16,93.98,51.84,135,2,3,FALSE,2,504,FALSE,,,,,0
MC_001291,Automated_Screwdriver,2019,32304,44.84,6.02,71.87,57.65,43.53,123.03,277,4,1,FALSE,3,618,FALSE,,,,,0
MC_001292,CMM,2021,66860,48.12,9.15,70.6,68.32,100,161.82,72,11,4,FALSE,5,273,FALSE,,,,,0
MC_001318,Automated_Screwdriver,2023,57524,59.16,6.84,75.91,89.54,100,201.79,105,5,2,TRUE,1,333,FALSE,,,,,2
MC_001320,3D_Printer,2015,28960,86.63,8.25,77.21,56.05,7.52,193.61,250,10,3,FALSE,3,573,FALSE,,,,,0
MC_001334,AGV,2022,57315,34.62,2.39,76.53,80.59,83.03,195.28,95,7,3,FALSE,8,456,FALSE,,,,,0
MC_001420,Pick_and_Place,2017,34998,78.03,7.38,62.5,36.31,85.18,189.64,56,4,3,FALSE,2,587,FALSE,,,,,0
MC_001428,3D_Printer,2017,9847,54.5,7.08,85.15,82.59,68.12,90.5,65,5,1,FALSE,0,818,FALSE,,,,,0
MC_001453,CNC_Mill,2020,98771,79.41,11.39,80.64,92.4,69.76,189.34,322,4,4,FALSE,3,0,TRUE,,,28.52,,0
MC_001470,Carton_Former,2024,42175,55.61,18.42,71.4,46.64,59.67,248.96,180,7,4,FALSE,3,494,FALSE,,,,,0
MC_001471,Press_Brake,2025,98637,64.87,9.43,87.18,89.1,100,163.98,327,5,1,TRUE,7,0,TRUE,,,,,1
MC_001472,Valve_Controller,2022,59404,68.1,15.12,68.15,44.68,24.35,121.2,197,5,1,TRUE,5,418,FALSE,,,,,8
MC_001505,Industrial_Chiller,2016,64350,66.12,13.53,72.66,66.23,100,299.22,248,7,0,FALSE,3,278,FALSE,,,28.47,,0
MC_001535,Industrial_Chiller,2021,48487,76.99,20.68,63.32,88.87,24.42,238.05,232,4,0,FALSE,5,398,FALSE,,,35.74,,0
MC_001548,Heat_Exchanger,2018,66212,72.65,8.78,64.57,77.07,93.09,141.61,289,3,1,FALSE,5,355,FALSE,,,,425.76,0
MC_001578,CMM,2022,97306,77.7,10.68,72.31,39.21,54.64,118.6,186,4,0,FALSE,5,0,TRUE,,,,,0
MC_001579,Vision_System,2018,65824,49.79,16.96,61.1,74.37,55.3,148.85,169,3,1,TRUE,2,240,FALSE,,,,,0
MC_001618,Robot_Arm,2019,59467,78.3,13.28,55.05,66.01,35.26,175.06,357,4,2,FALSE,4,297,FALSE,,,,,0
MC_001685,AGV,2025,75584,55.16,0.59,65.89,63.27,100,159.77,343,4,0,FALSE,2,307,FALSE,,,,,0
MC_001721,Hydraulic_Press,2021,37554,90.43,6.07,73.33,85.82,48.13,17.49,178,9,1,TRUE,3,595,FALSE,,96.55,,,3
MC_001723,Forklift_Electric,2025,77008,68.17,13.45,69.22,85.4,24.27,-1.09,183,7,3,TRUE,3,148,FALSE,,,,,3
MC_001751,Grinder,2018,8389,70.49,19.18,90.52,57.55,84.49,162.05,256,3,3,FALSE,3,825,FALSE,,,,,0
MC_001767,CNC_Lathe,2018,89665,63.61,6.87,88.25,67.27,64.44,117.27,346,4,1,FALSE,5,10,FALSE,,,51.31,,0
MC_001773,Shuttle_System,2015,16938,52.19,8.69,83.06,75.14,20.49,138.12,156,5,2,TRUE,1,704,FALSE,,,,,4
MC_001823,Mixer,2023,88470,54.74,15.74,77.32,86.65,82.62,189.66,217,6,3,FALSE,2,0,TRUE,,,,,0
MC_001827,Compressor,2015,18456,66.5,15.4,89.93,56.95,2.43,199.36,225,3,1,TRUE,3,728,FALSE,,,,,3
MC_001849,Injection_Molder,2020,66851,53.2,-4.56,64.46,2.59,84.92,21.59,306,3,1,FALSE,1,293,FALSE,,114.8,,,0
MC_001866,Crane,2016,73825,54.35,11.14,72.91,64.1,40.8,234.35,201,5,2,FALSE,3,228,FALSE,,,,,0
MC_001868,Pick_and_Place,2019,22916,64.91,12.43,72.89,70.52,88.88,231.74,86,1,1,FALSE,2,736,FALSE,,,,,0
MC_001918,CMM,2017,2064,58.26,9.84,67.06,55.34,60.34,171.71,197,7,0,FALSE,4,978,FALSE,,,,,0
MC_001939,Dryer,2020,95674,69.95,8.47,80.65,100,78.21,245.94,94,6,3,TRUE,2,78,FALSE,,,,,2
MC_001969,Shuttle_System,2018,40497,70.95,17.44,79.33,48.21,75.71,126.39,347,6,0,FALSE,5,567,FALSE,,,,,0
MC_001974,Shrink_Wrapper,2017,21111,42.27,6.72,64.8,88.72,88.61,128.66,220,0,3,FALSE,3,803,FALSE,,,,,0
MC_001986,Laser_Cutter,2019,30515,57.37,6.76,75.76,79.48,74.54,121.55,346,4,1,FALSE,2,562,FALSE,77.85,,,,0
MC_001993,Shuttle_System,2018,15691,61.54,5.85,66.65,23.06,72.01,95.32,186,10,2,FALSE,1,792,FALSE,,,,,0
MC_002007,Automated_Screwdriver,2022,76010,67.74,10.46,78.2,99.66,97.28,147.95,152,6,5,FALSE,3,124,FALSE,,,,,0
MC_002032,XRay_Inspector,2023,65942,41.12,2.43,83.85,60.33,47.68,184.7,279,2,2,FALSE,1,346,FALSE,,,,,0
MC_002122,Vacuum_Packer,2015,58503,72.67,5.01,71.46,59.05,28.42,178.57,52,4,2,FALSE,3,359,FALSE,,,,,0
MC_002123,Press_Brake,2023,56573,60.69,3.04,77.87,57.8,90.22,179.85,88,3,1,TRUE,4,414,FALSE,,,,,0
MC_002130,Boiler,2024,12392,44.97,16.31,78.75,47.31,22.97,80.49,301,6,1,FALSE,2,849,FALSE,,,,566.92,0
MC_002154,Forklift_Electric,2021,33896,77.95,13.27,70.58,53.98,77.71,115.38,261,5,2,TRUE,3,567,FALSE,,,,,2
MC_002207,Furnace,2024,1868,53.36,14.51,80.81,40.54,20.27,131.77,235,5,3,FALSE,0,984,FALSE,,,,502.03,0
MC_002247,Industrial_Chiller,2016,55885,44.38,5.93,55.32,86.74,96.67,103.52,16,5,3,TRUE,5,339,FALSE,,,39.74,,2
MC_002266,Shuttle_System,2025,46629,72.54,3.91,73.33,92.09,52.61,166.38,138,3,3,FALSE,3,527,FALSE,,,,,0
MC_002275,Shuttle_System,2020,69161,65.85,8.48,65.28,83.05,86.68,46.66,259,4,0,FALSE,4,161,FALSE,,,,,0
MC_002280,Valve_Controller,2019,74753,59.37,-0.69,71.84,60.11,92.15,146.72,358,3,0,FALSE,5,303,FALSE,,,,,0
MC_002387,CNC_Lathe,2017,55077,87.1,17.62,69.39,62.75,45.97,250.38,304,6,3,TRUE,6,380,FALSE,,,31.09,,1
MC_002396,Furnace,2016,62695,61.88,12.76,88.97,66.95,29.58,179.73,186,5,2,FALSE,1,278,FALSE,,,,404.76,0
MC_002407,Conveyor_Belt,2021,11047,63.48,16.55,46.42,58.62,78.27,148.05,133,6,1,FALSE,1,898,FALSE,,,,,0
MC_002440,Automated_Screwdriver,2015,62643,64.73,25.27,69.57,54.44,85.45,98.54,79,7,3,FALSE,1,319,FALSE,,,,,0
MC_002487,Injection_Molder,2015,32139,28,12.95,62.38,82.31,43.4,150.61,46,5,3,FALSE,3,632,FALSE,,90.75,,,0
MC_002517,Automated_Screwdriver,2022,97312,69.77,7.46,82.58,57.42,100,102.64,252,3,1,FALSE,0,6,TRUE,,,,,0
MC_002557,CMM,2019,85645,80.82,9.44,77.53,58.53,59.79,13.79,194,3,1,TRUE,2,140,FALSE,,,,,1
MC_002628,Palletizer,2024,60433,54.98,14.16,83.54,73.57,80.84,-18.32,113,5,2,FALSE,2,319,FALSE,,,,,0
MC_002657,Labeler,2025,64324,73.79,21.78,84.73,84.95,44.85,271.97,94,10,3,FALSE,3,305,FALSE,,,,,0
MC_002757,3D_Printer,2016,64064,72.99,10.56,49.51,65.12,81.87,209.12,291,4,2,FALSE,1,265,FALSE,,,,,0
MC_002810,Compressor,2018,20810,81.31,13.84,60.57,96.77,100,-26.82,326,3,0,FALSE,1,750,FALSE,,,,,0
MC_002831,Grinder,2017,62988,66.09,6.48,86,65.65,62.29,184.69,360,3,0,TRUE,1,251,FALSE,,,,,3
MC_002881,Shrink_Wrapper,2020,38934,52.5,16.35,80.85,100,39.37,61.63,285,4,3,TRUE,5,527,FALSE,,,,,3
MC_002925,Injection_Molder,2023,57289,94.48,10.51,70.52,85.45,43.95,16.59,163,4,1,FALSE,4,366,FALSE,,124.31,,,0
MC_002952,Mixer,2024,26390,56.18,8.91,68.52,66.9,44.74,158.83,91,6,0,TRUE,3,703,FALSE,,,,,1
MC_003088,Labeler,2024,57135,47.33,4.35,71.44,79.13,71.23,80.63,209,1,3,FALSE,4,348,FALSE,,,,,0
MC_003210,Conveyor_Belt,2016,1156,51.24,15.89,75.12,95.96,19.52,38.53,131,3,2,TRUE,4,872,FALSE,,,,,4
MC_003496,CNC_Lathe,2022,99143,70.85,7.64,66.18,61.23,91.05,189.59,32,5,3,FALSE,2,0,TRUE,,,40.23,,0
MC_003520,Automated_Screwdriver,2015,78097,47.2,1.8,83.36,64.14,68.42,204.47,237,7,4,TRUE,1,215,FALSE,,,,,5
MC_003525,Palletizer,2024,18485,42.98,2.14,84.26,70.34,30.35,186.03,293,4,1,FALSE,3,827,FALSE,,,,,0
MC_003557,XRay_Inspector,2018,96710,78.86,5.73,85.95,44.83,58.86,200.09,74,6,4,FALSE,3,0,TRUE,,,,,0
MC_003584,Automated_Screwdriver,2021,88229,66.11,14.74,50.92,85.71,58.64,223.02,242,4,1,FALSE,2,132,FALSE,,,,,0
MC_003624,Conveyor_Belt,2018,88286,58.15,8.57,79.08,73.96,68.86,115.61,68,5,1,FALSE,3,135,FALSE,,,,,0
MC_003641,Vision_System,2015,94167,64.29,8.15,60.37,48.31,100,238.41,206,5,3,FALSE,4,0,TRUE,,,,,0
MC_003653,Pump,2022,77679,53.64,10.82,64.6,73.04,50.27,211.09,185,2,2,FALSE,4,257,FALSE,,,,,0
MC_003706,Pick_and_Place,2017,15062,57.25,18.18,82.93,60.24,67.64,124.85,274,4,1,FALSE,3,739,FALSE,,,,,0
MC_003729,Palletizer,2023,51946,61.37,6.88,69.53,38.87,44.49,111.76,48,4,2,FALSE,5,350,FALSE,,,,,0
MC_003742,Valve_Controller,2015,49859,65.43,10.02,86.5,86.15,28.69,168.63,237,4,3,TRUE,1,437,FALSE,,,,,3
MC_003749,Automated_Screwdriver,2015,35252,57.65,-1.28,71.75,54.98,96.49,158.54,347,6,2,FALSE,2,598,FALSE,,,,,0
MC_003772,Press_Brake,2018,23802,58.56,10.59,75.89,57.22,69.86,111.3,234,4,1,FALSE,2,732,FALSE,,,,,0
MC_003798,Conveyor_Belt,2021,82197,35.57,10.41,63.52,76.41,83.68,67.18,310,5,1,TRUE,1,211,FALSE,,,,,2
MC_003802,Shuttle_System,2023,93871,75.67,7.13,76.37,81.83,16.56,27.88,162,4,1,TRUE,2,0,TRUE,,,,,2
MC_003806,Laser_Cutter,2019,37372,80.94,2.16,80.05,86.41,57.79,145.3,251,5,2,FALSE,5,591,FALSE,57.94,,,,0
MC_003812,Labeler,2018,4234,68.89,13.65,78.64,69.13,47.82,21.49,53,5,2,TRUE,7,907,FALSE,,,,,1
MC_003817,Press_Brake,2022,51738,48.16,5.21,84.96,98.59,68.47,229.9,82,5,4,FALSE,4,418,FALSE,,,,,0
MC_003848,Pick_and_Place,2023,52224,54.98,6.9,75.53,69.91,40.27,118.4,238,5,3,FALSE,2,421,FALSE,,,,,0
MC_003885,Crane,2021,16794,67.92,8.37,93.05,100,69.46,216.91,157,4,0,FALSE,3,749,FALSE,,,,,0
MC_003921,Robot_Arm,2021,25225,61.09,5.29,70.68,72.72,74.9,142.28,30,7,3,FALSE,2,689,FALSE,,,,,0
MC_003941,Industrial_Chiller,2017,83958,39.68,11.55,86.54,49.68,100,271.35,134,6,4,TRUE,2,72,FALSE,,,39.85,,3
MC_003977,Injection_Molder,2022,87411,69.72,7.82,70.13,62.16,62.85,138.15,212,6,2,FALSE,0,59,FALSE,,134.68,,,0
MC_003990,Labeler,2021,63846,44.88,11.07,81.3,76.14,62.31,108.45,232,4,2,FALSE,1,330,FALSE,,,,,0
MC_003992,Valve_Controller,2024,53873,92.14,7.1,74.28,75.36,32.5,262.95,340,5,1,TRUE,4,397,FALSE,,,,,4
MC_004005,Boiler,2017,62090,66.11,8.85,82.76,60.91,24.74,248.45,206,5,1,TRUE,1,331,FALSE,,,,487.63,2
MC_004011,Automated_Screwdriver,2017,58730,30.03,14.2,86.62,72.75,92.02,176.26,214,6,1,FALSE,2,433,FALSE,,,,,0
MC_004023,Vacuum_Packer,2023,42351,52.97,16.47,75.92,39.03,46.25,200.8,160,4,0,TRUE,2,500,FALSE,,,,,0
MC_004048,Dryer,2019,86368,73.79,3.62,64.77,85.9,77.7,133.34,63,6,3,FALSE,3,65,FALSE,,,,,0
MC_004085,Forklift_Electric,2018,51056,39,7.8,77.29,70.36,64.15,112.82,21,7,3,FALSE,6,424,FALSE,,,,,0
MC_004136,Shuttle_System,2019,39034,54.31,6.3,69.63,82.12,40.06,222.74,70,2,3,TRUE,1,575,FALSE,,,,,4
MC_004170,Pump,2020,907,41.14,20.18,65.7,55.36,88.93,139.78,156,4,1,FALSE,0,943,FALSE,,,,,0
MC_004195,CMM,2017,342,65.74,8.64,80.54,78.72,15.22,195.21,57,8,2,TRUE,4,833,FALSE,,,,,5
MC_004197,AGV,2019,55650,52.87,16.66,81.25,47.58,70.91,46.37,285,4,2,FALSE,4,321,FALSE,,,,,0
MC_004278,Press_Brake,2025,65007,69.57,14.41,63.52,100,62.49,15.94,8,3,1,TRUE,3,269,FALSE,,,,,3
MC_004282,Heat_Exchanger,2020,74060,45.77,19.06,90.53,56.62,93.55,288.87,343,5,6,FALSE,1,131,FALSE,,,,475.18,0
MC_004303,Hydraulic_Press,2015,45588,70.26,11.37,83.37,75.39,29.36,174.56,331,7,3,FALSE,4,472,FALSE,,126.97,,,0
MC_004330,Vacuum_Packer,2020,65178,51.61,4.96,82.42,61.18,94.02,76.55,114,3,1,FALSE,4,208,FALSE,,,,,0
MC_004349,CMM,2020,51756,72.04,7.47,65.84,100,79.14,50.87,22,5,4,FALSE,3,315,FALSE,,,,,0
MC_004398,Pick_and_Place,2021,59694,64.24,13.49,62.83,66.35,23.97,127.89,64,5,2,FALSE,3,304,FALSE,,,,,0
MC_004431,3D_Printer,2025,62930,52.64,11.89,80.72,88.8,73.1,227.41,302,6,3,FALSE,6,296,FALSE,,,,,0
MC_004463,Pick_and_Place,2019,74944,73.52,13.49,75.23,79.74,71.68,248.14,279,8,1,FALSE,4,70,FALSE,,,,,0
MC_004482,CNC_Mill,2018,69831,33.93,6.75,66.97,59.03,80.05,30.1,236,8,1,FALSE,3,263,FALSE,,,29.85,,0
MC_004509,Press_Brake,2025,98959,67.53,14.12,103.03,72.45,87.37,25.04,333,8,4,FALSE,2,0,TRUE,,,,,0
MC_004574,XRay_Inspector,2023,22676,68.61,8.31,77.96,71.77,30.24,24.27,34,3,3,FALSE,5,716,FALSE,,,,,0
MC_004592,3D_Printer,2016,90856,43.39,10.65,47.47,53.17,43.83,157.8,146,6,3,TRUE,7,39,FALSE,,,,,5
MC_004621,3D_Printer,2025,95469,63.96,3.59,68.38,82.28,34.2,18.7,141,4,1,FALSE,3,40,FALSE,,,,,0
MC_004624,Palletizer,2020,80515,47.82,6.2,69.51,69.49,67.78,182.49,328,4,1,FALSE,0,177,FALSE,,,,,0
MC_004698,AGV,2022,902,60.4,5.07,92.98,74.63,47.52,150.8,302,4,3,TRUE,1,846,FALSE,,,,,2
MC_004704,Crane,2016,83508,56.83,6.52,79.07,93.72,100,101.05,335,5,1,FALSE,2,123,FALSE,,,,,0
MC_004723,Automated_Screwdriver,2016,60441,47.81,6.71,67.21,58.79,77.83,219.04,227,2,5,FALSE,4,343,FALSE,,,,,0
MC_004748,Crane,2017,63743,82.13,14.48,68.62,68.95,100,116.32,326,5,1,FALSE,0,310,FALSE,,,,,0
MC_004777,Mixer,2021,9570,64.03,21.81,65.43,100,58.69,246.67,122,2,1,FALSE,3,845,FALSE,,,,,0
MC_004823,Shrink_Wrapper,2025,79921,48.81,14.05,60.03,73.96,44.52,225,231,2,0,TRUE,3,94,FALSE,,,,,3
MC_004877,Forklift_Electric,2015,19927,63.01,16.37,63.19,69.19,54.16,143.35,197,6,1,FALSE,3,765,FALSE,,,,,0
MC_004967,Crane,2016,60893,79.39,6.68,75.5,93,68.53,203.39,274,8,3,FALSE,4,352,FALSE,,,,,0
MC_005016,Grinder,2023,55558,72.61,17.74,66.43,89.51,0,88.85,216,7,1,TRUE,3,406,FALSE,,,,,1
MC_005106,Dryer,2019,16650,61.04,12.3,76.43,72.25,26.14,92.15,220,5,2,FALSE,2,824,FALSE,,,,,0
MC_005132,Shrink_Wrapper,2018,78393,79.64,18.56,71.23,72.12,100,257.86,223,11,1,TRUE,3,104,FALSE,,,,,2
MC_005140,Laser_Cutter,2021,54414,46.38,18.43,77.33,35.01,70.84,162,51,5,2,TRUE,2,360,FALSE,70.49,,,,3
MC_005154,Crane,2025,3423,50.72,7.71,77.03,95.16,71.37,257.24,45,6,2,TRUE,5,878,FALSE,,,,,2
MC_005184,3D_Printer,2024,13822,42.69,20.88,80.9,100,100,18.11,258,1,1,FALSE,2,710,FALSE,,,,,0
MC_005191,Vision_System,2020,45654,38.33,7.2,85.48,60,35.02,195.92,52,3,1,FALSE,4,514,FALSE,,,,,0
MC_005303,Heat_Exchanger,2017,16769,79.93,9.2,81.07,77.77,63.05,-50.13,166,3,2,FALSE,3,820,FALSE,,,,549.68,0
MC_005364,Laser_Cutter,2024,49887,43.64,15.84,59.29,83.38,100,136.8,328,6,1,FALSE,0,434,FALSE,64.93,,,,0
MC_005379,Industrial_Chiller,2024,23942,81.11,14.04,56.57,100,95,109.92,55,6,5,TRUE,2,661,FALSE,,,30.96,,3
MC_005490,Pump,2018,33446,58.83,14.89,101.66,41.01,54.16,77.83,267,6,2,FALSE,5,699,FALSE,,,,,0
MC_005504,Pump,2024,5510,36.55,6.79,94.44,55.97,99.02,56.67,223,4,1,TRUE,2,882,FALSE,,,,,2
MC_005587,Press_Brake,2015,28390,69.91,13.19,84.5,95.85,71.37,213.05,170,5,3,FALSE,3,593,FALSE,,,,,0
MC_005596,Heat_Exchanger,2016,24173,50.93,6.04,72.38,77.56,72.45,58.16,213,3,2,FALSE,3,709,FALSE,,,,435.55,0
MC_005629,CNC_Lathe,2022,15814,58.23,4.95,86.8,54.23,51.04,104.77,174,2,2,FALSE,1,786,FALSE,,,30.02,,0
MC_005698,Automated_Screwdriver,2023,14914,39.83,14.06,75,80.91,47.33,11.57,79,8,6,FALSE,5,808,FALSE,,,,,0
MC_005748,XRay_Inspector,2025,12447,42.16,9.4,56.41,91.65,97.2,210.54,266,9,0,TRUE,5,889,FALSE,,,,,3
MC_005807,Dryer,2020,53638,62.91,18.83,76.04,98.17,37.55,128.04,97,6,2,FALSE,3,352,FALSE,,,,,0
MC_005878,Valve_Controller,2024,52788,64.92,5.21,76.08,63.94,66.86,125.85,365,5,0,TRUE,4,560,FALSE,,,,,2
MC_005938,CNC_Lathe,2017,54710,69.08,19.83,64.08,54.69,93.32,198.21,250,6,1,FALSE,1,380,FALSE,,,45.06,,0
MC_006043,Palletizer,2019,88152,48.97,8.42,83.31,73.37,46.53,267.61,333,8,2,TRUE,0,189,FALSE,,,,,1
MC_006110,Injection_Molder,2021,79927,49.93,6.29,75.95,100,46.14,96.86,263,4,0,TRUE,2,164,FALSE,,98.06,,,3
MC_006153,XRay_Inspector,2022,26539,82.16,3.25,71.96,61.99,29.14,196.1,152,2,0,FALSE,1,719,FALSE,,,,,0
MC_006226,Robot_Arm,2025,66459,60.64,8.14,77.9,54.27,30.4,211.76,92,2,1,FALSE,0,238,FALSE,,,,,0
MC_006298,Palletizer,2024,57269,69.71,12.7,80.82,72.16,77.9,214.9,258,3,4,TRUE,2,328,FALSE,,,,,0
MC_006333,Furnace,2020,8876,68.6,15.22,76.72,77.65,26.22,108.12,211,6,3,FALSE,2,802,FALSE,,,,548.18,0
MC_006409,Carton_Former,2016,75364,77.45,14.48,65.13,71.4,50.17,118.19,298,6,4,FALSE,1,97,FALSE,,,,,0
MC_006533,Pump,2018,17670,33.65,6.7,57.84,38.03,41.09,69.51,314,1,1,FALSE,5,673,FALSE,,,,,0
MC_006640,Crane,2018,63383,60.65,13.11,87.17,41.06,64.41,189.82,292,3,4,FALSE,0,266,FALSE,,,,,0
MC_006687,3D_Printer,2019,73266,60.95,-1.94,62.14,72.96,62.27,144.68,307,6,0,FALSE,6,230,FALSE,,,,,0
MC_006760,Shrink_Wrapper,2015,4379,55.29,10.26,57.23,56.2,100,51.07,89,6,3,FALSE,2,796,FALSE,,,,,0
MC_006817,Forklift_Electric,2024,66129,76.87,8.14,80.35,50.01,100,104.87,35,4,2,TRUE,1,383,FALSE,,,,,2
MC_006879,CMM,2023,85663,30.83,3.38,56.02,63.42,56.38,174.83,93,6,2,FALSE,3,81,FALSE,,,,,0
MC_006960,Palletizer,2017,34972,56.99,16.52,78.99,85.8,68.27,174.63,178,5,0,TRUE,3,625,FALSE,,,,,7
MC_006970,Industrial_Chiller,2016,46890,77.35,7.76,69.58,60.06,71.26,179.5,300,10,6,FALSE,4,429,FALSE,,,28.74,,0
MC_007215,CNC_Lathe,2018,6326,93.26,8.48,82.45,51.56,74.43,130.35,88,5,3,FALSE,2,930,FALSE,,,56.01,,0
MC_007257,Conveyor_Belt,2025,15572,74.44,8.85,72.33,83.45,0,272.02,203,5,2,TRUE,2,859,FALSE,,,,,4
MC_007299,Shrink_Wrapper,2021,36394,67.36,10.27,78.67,78.9,44.76,202.85,246,10,1,FALSE,10,558,FALSE,,,,,0
MC_007541,CNC_Mill,2018,84298,38.21,14.62,83.49,62.43,45.58,108.23,302,7,3,FALSE,1,121,FALSE,,,40.1,,0
MC_007551,Dryer,2022,32334,55.65,8.96,81.53,78.2,70.12,223.49,110,5,3,FALSE,1,593,FALSE,,,,,0
MC_007612,Grinder,2021,75524,70.02,16.57,68.95,57.08,85.48,98.96,330,4,1,TRUE,0,160,FALSE,,,,,2
MC_007617,Valve_Controller,2024,87867,33.12,8.93,91.95,63.92,72.66,107.74,34,6,3,FALSE,1,49,FALSE,,,,,0
MC_007627,Conveyor_Belt,2020,51710,61.24,16.96,64.82,52.35,85.52,37.12,1,8,2,TRUE,3,359,FALSE,,,,,3
